app_id,title,description,category,current_version,avg_rating,is_free,price,currency,contains_ads,dev_id,dev_name,dev_email,company_name,dev_key,version_tag,release_notes,upload_date,review_author,review_comment,review_stars,trans_id,trans_date,trans_status,payment_method
690e886c-4ee5-4175-a941-fd1f82ea9318,Fix List,Welcome to Fix List! This is the ultimate Tools solution. Happen wind lot. Very fear important cause heart road.,Tools,2.8,3.8,False,41.99,USD,True,19adb7ab-455b-49c1-8e04-f1a935512a12,Melanie Williams,xsantos@snyder-wilkerson.com,"Hatfield, Williams and Miller",ef042d63e7ee0f46,v1,Piece everybody daughter indicate sound together world professional.,2026-02-23,riverahoward,Example fund direction.,5,f199afc9-3f47-40a6-bfda-796b7d3986cc,2026-02-17 22:32:22,Completed,Credit Card
cf4e6dac-0419-43f5-ba28-7fa2c5e3cb22,Baker Arena,Welcome to Baker Arena! This is the ultimate Games solution. Manage rich mouth real system media floor.,Games,9.2,4.3,True,0.0,,True,1bae15cc-3677-4242-a007-bd4da727ed86,Erica Ford,jessicatorres@calhoun-hernandez.com,Gonzalez PLC,3d50baa6488a0960,v5,Since call similar somebody.,2026-03-09,kevans,Effort entire school family more deep discussion ten. Popular anything particular indeed.,3,,,,
e3629593-9bc3-4458-92a4-a4e8c34d6f23,Connect Scientist,Welcome to Connect Scientist! This is the ultimate Social solution. Professor follow only last.,Social,2.2,1.0,True,0.0,,False,53a7d6b8-e7d4-4797-8f0a-ae49bd1803b9,Wesley Maldonado,williemccoy@lewis.com,Jones-Meza,ec87bf74d0ede8e6,v1,Worker law easy should partner owner because.,2026-03-09,fwallace,Team art fly none buy. Dream agency resource method the tough. Others near most seek.,4,,,,
35c32370-5212-43f5-93dd-71842efeb4ab,Mega Timothy,Welcome to Mega Timothy! This is the ultimate Games solution. Act others third hold maybe much. Already white debate finish your.,Games,5.5,1.6,True,0.0,,False,145c530e-ccc0-41bc-8fbf-87042ebd401c,Christopher Green,brandon44@charles.net,"Griffin, Rivera and Hernandez",0b126482e3a3070c,v1,American fund billion since call.,2026-01-19,acarr,Sound pressure surface trial. Age offer owner state standard pressure sport.,5,,,,
b85a5c6b-e95e-4ef3-9be2-df569572c779,Battery Exist,Welcome to Battery Exist! This is the ultimate Tools solution. Total top generation deep.,Tools,12.5,4.1,False,37.16,USD,True,9e95c915-4c60-4597-bda5-1a5b973fe427,Sean Gonzalez,lisablair@garner-ortega.com,Mays-Fowler,3e12c97f7dda26de,v2,Practice team against production.,2026-01-29,michellevasquez,Much political risk several idea.,2,82b8a846-0591-486f-98d1-1eda10a91419,2026-02-09 00:11:16,Pending,Carrier Billing
f79671a9-f2fe-4972-b954-373cc40a0380,Hotpink World,Welcome to Hotpink World! This is the ultimate Games solution. Radio region per wish.,Games,1.7,3.1,False,20.92,USD,True,5ec2b4b1-74be-4d56-98d5-475220cf7e65,Wayne Moore,gregoryruiz@stewart-schmidt.biz,"Murray, Adams and Duarte",dc5dab15c716a328,v3,Design rate evening attorney.,2026-02-18,zfisher,Soldier collection possible never.,3,529cd88a-35da-4d38-b07c-55c3db0cd9f7,2026-03-06 03:42:14,Pending,Credit Card
cad4f997-fa14-4017-81dd-466865069419,Safe Four,Welcome to Safe Four! This is the ultimate Finance solution. Nothing along spend area blood. Watch international by near.,Finance,12.1,3.3,False,11.5,USD,False,286de200-a86c-404f-a1fe-59019db509fa,Todd Gray,zsims@gonzalez.com,"Davis, Little and Harrell",8a78eb34863ae5f0,v2,Community because with high chance.,2026-02-01,marc32,Cut wrong general. Change protect step soon enter.,3,c3cfb2e0-6879-4a6c-8311-1fb7b2bc63de,2026-03-14 19:09:14,Failed,Carrier Billing
a8ea1728-f17c-495f-822d-84b03787b9ec,Daily Michael,Welcome to Daily Michael! This is the ultimate Productivity solution. Send heart environment plant type.,Productivity,1.6,3.5,True,0.0,,False,691286da-752e-4eb3-b231-642797e13395,Andrew Douglas,wileymatthew@newman-welch.com,"Shea, Walker and Washington",d8acf3d6175a399c,v1,Loss likely nearly free listen score almost society.,2026-01-21,andrewsbrian,"Clearly make lot cut. Challenge tax bank year.
Ground cell about song.",4,,,,
b39f7192-04ba-4cb1-b031-f3a695b58068,Seagreen Me,Welcome to Seagreen Me! This is the ultimate Social solution. Stop large ago everything model bad. General who treat on mind special deal.,Social,7.7,5.0,True,0.0,,False,3710ca90-8635-4220-949e-94655e6ce1ea,Tim Mullins,williamsdylan@hardin.net,"Richards, Romero and Tyler",7663c52519c9c57d,v4,Choose then rise call.,2026-03-03,david30,Agreement age dog their. Weight day letter evening then attack skill. Staff black few shake.,2,,,,
80f4c96e-4077-4972-873f-c7b8eedc7e99,Garrison Tool,Welcome to Garrison Tool! This is the ultimate Tools solution. Former wear message.,Tools,10.0,2.2,False,1.09,USD,True,da8dd7e4-4d8b-482f-8069-62f55f476da5,Amanda Wilkinson,johnmiller@peterson-duncan.biz,"Tucker, Gutierrez and Blackwell",98bf33dd09625c95,v4,Decision floor entire benefit.,2026-01-06,deborahwilson,Hour attorney model least lose. Go perform possible.,1,7ae03b42-9efd-4fb9-b2e7-2ec83347290e,2026-02-12 17:45:24,Failed,Carrier Billing
