app_id,title,category,current_version,avg_rating,is_free,price,currency,contains_ads,dev_id,dev_name,dev_email,company_name,dev_key,version_tag,release_notes,upload_date,review_author,review_comment,review_stars
38c0d0f9-b4ec-4790-b6d0-5878866aa6ac,Digitized object-oriented infrastructure,Education,8.9,1.2,True,0.0,,False,ab4f304f-1631-432e-b48b-37802541c28a,Zachary Ortiz,robert06@mckinney-dennis.biz,Figueroa PLC,75fa9368f962a4ac,v1,Writer hour agreement season herself sport.,2026-03-01,lmartinez,One determine father hope but everybody scene people. Mission participant rock model claim others.,3
012e6fa4-87d9-4c71-b999-353c29284d71,Intuitive optimal contingency,Social,2.0,1.4,False,37.88,USD,True,309f8bd1-1dde-4dcd-bec6-59b41d586c3b,Angela Lane,rwilson@barber-khan.biz,Moody-Young,da084e6497700364,v2,Gun news apply seem can fast.,2026-01-22,mitchelljason,Education claim tell. Subject against guess. Keep option common final national push.,1
4a5c13d2-d755-464d-9fd5-a6b654b39764,Synchronized intermediate encoding,Education,10.2,2.6,True,0.0,,False,81f19c7a-bb68-4120-a545-8e4675626d01,Mrs. Hailey Patel,adkinsamanda@jones.com,Castro PLC,95427e1213aed287,v3,Grow operation nature next camera.,2026-01-21,maxwelltammy,West speech only source firm sometimes. Peace community ready agency above.,2
21b2dc2d-5b53-402f-a030-eea487518606,Grass-roots foreground data-warehouse,Productivity,11.0,1.9,True,0.0,,False,4be2eff1-4899-4c06-8eb7-a0efa8c4071f,Brittney Perry,harrismichael@garcia.org,Chen-Barrett,ffc27fe3857d7225,v5,Adult tax before turn line however.,2026-01-03,annawest,Attack guy author hand share leader food. Group better example high.,1
a26ca8e1-419a-46f1-939d-64e5d7dca7ec,Decentralized 4thgeneration middleware,Productivity,9.5,1.0,True,0.0,,False,86c2535c-2e6a-4dca-adf7-f24fd16f7869,Lisa Johnson,shirleymeyers@gordon.com,Estes-Carey,34c9f851c2be6f77,v3,One soldier mention.,2026-03-01,amandastewart,Local hand section side race by standard. Against plant success stage difficult.,5
03ba8a66-0eab-4478-b394-fb5c13f4a029,Proactive holistic Internet solution,Productivity,10.8,2.5,True,0.0,,False,7ba42bdb-4551-4627-b619-3e8b66a1b528,Amy Smith,brownjustin@anderson.org,"Williams, Clarke and West",14c884e80a47240b,v1,Ability off purpose discover great American.,2026-02-20,wendyerickson,In player authority where. Research green manage join big just.,1
1bbfcd4c-c2ad-4f3e-93ef-614e82f43057,Monitored asynchronous productivity,Productivity,4.0,1.5,True,0.0,,False,081b9b73-f76e-406e-8bac-52aee69c459d,Justin Silva,laurenstuart@kirby-williams.com,"Kelly, Norton and Brown",2de2731eb36a8333,v3,Energy including alone name onto follow couple.,2026-01-28,hendersondonna,Thank institution inside coach red.,2
eb784159-6654-4e11-8087-dee4c8681c6f,Future-proofed zero administration Graphical User Interface,Social,8.0,1.3,False,7.07,USD,False,1cfc99c0-b7d0-40a0-93af-9ec6b6dffa5d,James Jones,mirandacindy@owen.net,"Salinas, Lin and Klein",013a4e3912deb8d3,v2,Add opportunity one young forward then.,2026-02-20,navarropatricia,All marriage different writer human per. Tonight can box laugh just exist.,1
270eb578-7519-4caa-ba56-94cf65e86756,Multi-layered incremental policy,Finance,11.3,2.2,False,1.26,USD,False,6fb6ee21-b67a-4e89-bca5-a5b410c1cb41,John James,rebeccajones@padilla.com,Smith-Mcdaniel,3f546a7ca6f7e357,v3,Carry mind series political officer computer.,2026-02-25,greenmichael,Success star four. Mr fund according high area perhaps method choice.,2
9445c372-271f-45dc-9b51-112c0edb3cf6,Persevering fault-tolerant challenge,Productivity,9.5,1.4,True,0.0,,True,0e2dbbb2-bf32-4cb4-8c54-23f10ec8e4f4,Danielle Lewis,wendy10@johnson.biz,Schroeder-King,f5ef11c099b4a3fc,v5,Member church country choose sing itself.,2026-02-02,hooperjanet,Tax specific hand two bed. Computer including view student manage surface front he.,1
283d656e-0148-46f3-a8aa-4191b7a553d0,Intuitive regional data-warehouse,Social,2.0,1.9,False,38.12,USD,True,f3e20dd4-5e90-4762-82aa-9ff24720d600,Rachael Lee,michaelbrowning@greer.info,Gentry Inc,d84dcb7833e42f99,v2,Eat case develop yourself main.,2026-01-27,george47,Behavior pass note head bit team seek. Low weight let Congress strong.,1
0463be4b-2a83-4bb7-9123-f70f63be846e,Grass-roots high-level concept,Social,12.1,4.3,True,0.0,,False,08ff419c-8aa6-4b8e-a54f-869ccb08452d,Louis Parsons,robertsmichelle@hubbard.com,Barton-Gonzalez,4b83a8f79b17b8c7,v5,Begin gun season source seven available.,2026-02-15,stephanie36,"Cup smile heart price attack talk.
Economy serve conference new effort.",3
64784df3-354e-4c9e-a233-708e2cd2f1b9,Synergistic needs-based adapter,Tools,12.3,2.0,False,17.7,USD,False,883f5733-90a4-45d5-ab5d-64e1fa2c4305,Jason Larson,denise07@walker.com,Hunt PLC,7d5cdc1ca88311e3,v5,Training certain structure my carry.,2026-01-23,josephsalinas,Build movement machine eye mind receive. Us rich reflect go before sure seven parent.,2
b63bb039-e226-4e63-8791-c847fb83bb70,Configurable upward-trending toolset,Social,2.4,3.6,False,28.17,USD,True,9dd6021e-6dc0-4689-9159-836c5c25dbf7,Mr. Marcus Watson Jr.,clarkjeremy@russell.com,Ramirez PLC,bbd25ac0b06870f0,v4,Lose American shoulder among personal old.,2026-03-01,kevin62,Board next window smile serious political time. Pick mouth campaign.,2
c1582ea5-40ac-4afa-91b9-f05af5a2b3b5,Seamless fresh-thinking moderator,Finance,3.4,3.1,True,0.0,,False,def75948-e35a-4ee8-83fb-098d55c6b3d1,Joseph Murphy,abigail53@jenkins-rogers.com,"Parker, Tate and Jones",91c0e5fc330fa669,v5,Special feel another determine husband public continue together.,2026-02-25,april87,Identify pass would occur agent former. Identify within collection tell.,4
11fb8a61-8237-4332-b273-56eb6ffd379e,Re-contextualized mission-critical project,Tools,3.3,1.9,False,20.2,USD,False,c850baa0-14c3-49f8-9982-f9f1090ff6bf,Daniel Martinez,owheeler@zhang.com,"West, Smith and Greene",7863f4e2ba3019c1,v4,Three late school door beyond.,2026-02-17,jeffrey23,Oil against heavy animal term serious. Then magazine fear into.,2
17b3b6a2-fff6-444d-a57b-481e9968bfec,Optional optimal moderator,Education,10.0,1.7,False,20.78,USD,True,8d337c0e-494c-47ae-9753-652841636472,Jessica Whitehead,fshepherd@west.com,"Davis, Burns and Jordan",ce5e4d4bbf6a886b,v2,Available improve two Mrs.,2026-01-09,patricia92,View others because thing watch save. Few indeed stock training stand two crime.,5
1f3e1622-e96f-4644-8863-861018b728e4,Quality-focused explicit hardware,Social,7.5,4.2,True,0.0,,False,603a9bea-6253-4de6-be10-fe5a0d23a22e,William Velasquez,erodriguez@powell-shea.com,"Miles, Castro and Schneider",81a3c64b8ff5d8ed,v3,Customer again speech spend skill author.,2026-02-04,twilliams,Where degree audience early. Into here career sound voice could challenge move.,4
374f1c14-8e20-410d-a17c-e1f987cc3bd8,Stand-alone high-level orchestration,Tools,6.6,3.7,False,21.73,USD,False,7e6a0266-64bf-44c4-b836-fe8e9163b583,Erica Jones,david11@morrison.com,"Austin, Hill and Jackson",d1ddd65faf7e0558,v5,Lot line political official follow huge beyond.,2026-02-10,joebrown,Writer save factor security finish chair. Current in bag agency hotel administration note.,5
ffb38d3c-9601-4dcb-8681-f24400cadc01,Automated exuding extranet,Social,11.8,3.1,False,35.01,USD,True,fb6b3bcc-aac9-45dc-8ab8-847f7d1d8be1,Matthew Tucker,andrea06@hartman.com,Becker-Hughes,1d78f920eff27742,v2,Speak off environmental speak management executive citizen.,2026-01-04,nguyenrobert,Dinner drug girl grow.,5
b54aa643-00bf-4d41-98a5-a755269d75a5,Future-proofed mission-critical implementation,Tools,8.4,3.8,True,0.0,,False,992418c0-0238-42ae-ae68-8ee4671c20cb,Penny Russell,brandondelgado@campbell.com,"Hines, Jennings and Leonard",f527190ea81cfc69,v3,Everything voice hospital board town challenge bring.,2026-01-18,wayne99,Attack best center responsibility deal improve case describe.,5
